ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,kwh_2010_05,kwh_2010_06,kwh_2010_07,kwh_2010_08,kwh_2010_09,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
4607,B,4,275.54600000000005,232.25849999999997,289.8904999999995,317.8119999999996,288.3425000000006,274.00450000000063,228.87150000000025,243.3449999999999,211.40450000000004,219.5605000000003,213.0585000000003,190.95050000000032,188.70899999999992,239.7185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4609,E,E,101.89999999999948,98.3369999999998,93.24199999999986,126.00699999999935,25.432999999999986,35.87800000000001,27.33150000000002,14.503500000000177,12.607999999999981,9.109500000000109,7.145000000000072,69.95050000000005,127.40099999999993,112.49600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4620,E,E,537.8035000000001,525.5539999999994,566.9014999999978,666.482999999999,714.557499999999,692.606499999999,611.5095000000006,651.8785000000012,578.6240000000001,586.2930000000002,543.5779999999992,606.9604999999995,555.0444999999993,596.5724999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4625,E,E,124.567,116.17699999999996,121.60499999999998,112.9230000000001,127.4809999999998,140.61900000000009,121.58949999999987,137.61300000000014,136.3149999999999,157.4055000000001,164.74649999999974,116.28200000000004,118.78399999999998,129.48899999999992,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4634,E,E,192.2814999999992,227.8595,227.81699999999995,256.6975,298.5504999999999,341.3854999999995,315.7259999999997,292.36049999999983,232.04150000000027,222.83550000000028,106.3600000000004,185.16499999999985,146.7079999999998,129.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4635,E,E,405.1234999999992,376.2204999999989,356.39349999999934,321.1715000000004,416.1949999999998,371.2350000000001,285.968,319.6350000000004,336.11599999999976,388.1349999999997,343.25849999999963,416.0835000000005,365.7524999999996,329.14149999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4637,E,E,204.81999999999974,160.7379999999998,224.44300000000013,250.41399999999985,307.9189999999994,286.25599999999963,240.39799999999968,246.3069999999996,210.64199999999968,206.1614999999997,107.98899999999979,177.59899999999993,234.48549999999963,166.5049999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4640,E,E,202.1235,180.73399999999972,198.45300000000043,264.1239999999997,227.4305,203.35049999999958,173.18299999999962,278.5934999999992,237.61299999999991,170.6009999999994,124.59349999999952,143.41249999999926,246.67049999999992,259.27149999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4644,E,E,126.60200000000007,350.43350000000044,440.34049999999945,567.3385000000002,550.0120000000003,583.6445000000002,643.3859999999997,512.7195,468.1374999999997,411.6370000000005,327.02250000000043,114.6995,114.26899999999992,329.0444999999998,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4648,E,E,461.88399999999916,492.0229999999996,601.0509999999992,671.9129999999998,807.4610000000004,807.7890000000008,616.8704999999998,614.8715000000009,550.4809999999992,553.2149999999995,470.7690000000007,281.5780000000001,366.75100000000054,428.4719999999992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4652,E,E,262.7305000000002,256.6525000000003,310.5314999999997,311.17499999999967,302.1784999999978,362.71599999999944,293.36649999999923,317.98799999999983,276.13850000000014,256.7579999999998,130.84249999999943,216.341,305.95850000000013,287.6974999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4655,E,E,387.62699999999984,378.3494999999994,438.0684999999992,390.2984999999997,512.0034999999997,506.7310000000005,447.85199999999986,461.92400000000015,407.53299999999945,374.376000000001,337.10799999999983,424.23500000000087,432.4495000000005,403.20399999999984,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
