date,year,month,day,hour,minute,hour_cer,day_cer,ym
2009-01-05 00:00:00,2009,1,5,14,0,29,5,2009-01
2009-01-05 00:00:00,2009,1,5,14,30,30,5,2009-01
2009-01-05 00:00:00,2009,1,5,15,0,31,5,2009-01
2009-01-05 00:00:00,2009,1,5,15,30,32,5,2009-01
2009-01-05 00:00:00,2009,1,5,16,0,33,5,2009-01
2009-01-05 00:00:00,2009,1,5,16,30,34,5,2009-01
2009-01-05 00:00:00,2009,1,5,17,0,35,5,2009-01
2009-01-05 00:00:00,2009,1,5,17,30,36,5,2009-01
2009-01-05 00:00:00,2009,1,5,18,0,37,5,2009-01
2009-01-05 00:00:00,2009,1,5,18,30,38,5,2009-01
2009-01-05 00:00:00,2009,1,5,19,0,39,5,2009-01
2009-01-05 00:00:00,2009,1,5,19,30,40,5,2009-01
2009-01-05 00:00:00,2009,1,5,20,0,41,5,2009-01
2009-01-05 00:00:00,2009,1,5,20,30,42,5,2009-01
2009-01-05 00:00:00,2009,1,5,21,0,43,5,2009-01
2009-01-05 00:00:00,2009,1,5,21,30,44,5,2009-01
2009-01-05 00:00:00,2009,1,5,22,0,45,5,2009-01
2009-01-05 00:00:00,2009,1,5,22,30,46,5,2009-01
2009-01-05 00:00:00,2009,1,5,23,0,47,5,2009-01
2009-01-05 00:00:00,2009,1,5,23,30,48,5,2009-01
2009-01-06 00:00:00,2009,1,6,0,0,1,6,2009-01
2009-01-06 00:00:00,2009,1,6,0,30,2,6,2009-01
2009-01-06 00:00:00,2009,1,6,1,0,3,6,2009-01
2009-01-06 00:00:00,2009,1,6,1,30,4,6,2009-01
2009-01-06 00:00:00,2009,1,6,2,0,5,6,2009-01
2009-01-06 00:00:00,2009,1,6,2,30,6,6,2009-01
2009-01-06 00:00:00,2009,1,6,3,0,7,6,2009-01
2009-01-06 00:00:00,2009,1,6,3,30,8,6,2009-01
2009-01-06 00:00:00,2009,1,6,4,0,9,6,2009-01
2009-01-06 00:00:00,2009,1,6,4,30,10,6,2009-01
2009-01-06 00:00:00,2009,1,6,5,0,11,6,2009-01
2009-01-06 00:00:00,2009,1,6,5,30,12,6,2009-01
2009-01-06 00:00:00,2009,1,6,6,0,13,6,2009-01
2009-01-06 00:00:00,2009,1,6,6,30,14,6,2009-01
2009-01-06 00:00:00,2009,1,6,7,0,15,6,2009-01
2009-01-06 00:00:00,2009,1,6,7,30,16,6,2009-01
2009-01-06 00:00:00,2009,1,6,8,0,17,6,2009-01
2009-01-06 00:00:00,2009,1,6,8,30,18,6,2009-01
2009-01-06 00:00:00,2009,1,6,9,0,19,6,2009-01
2009-01-06 00:00:00,2009,1,6,9,30,20,6,2009-01
2009-01-06 00:00:00,2009,1,6,10,0,21,6,2009-01
2009-01-06 00:00:00,2009,1,6,10,30,22,6,2009-01
2009-01-06 00:00:00,2009,1,6,11,0,23,6,2009-01
2009-01-06 00:00:00,2009,1,6,11,30,24,6,2009-01
2009-01-06 00:00:00,2009,1,6,12,0,25,6,2009-01
2009-01-06 00:00:00,2009,1,6,12,30,26,6,2009-01
2009-01-06 00:00:00,2009,1,6,13,0,27,6,2009-01
2009-01-06 00:00:00,2009,1,6,13,30,28,6,2009-01
2009-01-06 00:00:00,2009,1,6,14,0,29,6,2009-01
2009-01-06 00:00:00,2009,1,6,14,30,30,6,2009-01
2009-01-06 00:00:00,2009,1,6,15,0,31,6,2009-01
2009-01-06 00:00:00,2009,1,6,15,30,32,6,2009-01
2009-01-06 00:00:00,2009,1,6,16,0,33,6,2009-01
2009-01-06 00:00:00,2009,1,6,16,30,34,6,2009-01
2009-01-06 00:00:00,2009,1,6,17,0,35,6,2009-01
2009-01-06 00:00:00,2009,1,6,17,30,36,6,2009-01
2009-01-06 00:00:00,2009,1,6,18,0,37,6,2009-01
2009-01-06 00:00:00,2009,1,6,18,30,38,6,2009-01
2009-01-06 00:00:00,2009,1,6,19,0,39,6,2009-01
2009-01-06 00:00:00,2009,1,6,19,30,40,6,2009-01
2009-01-06 00:00:00,2009,1,6,20,0,41,6,2009-01
2009-01-06 00:00:00,2009,1,6,20,30,42,6,2009-01
2009-01-06 00:00:00,2009,1,6,21,0,43,6,2009-01
2009-01-06 00:00:00,2009,1,6,21,30,44,6,2009-01
2009-01-06 00:00:00,2009,1,6,22,0,45,6,2009-01
2009-01-06 00:00:00,2009,1,6,22,30,46,6,2009-01
2009-01-06 00:00:00,2009,1,6,23,0,47,6,2009-01
2009-01-06 00:00:00,2009,1,6,23,30,48,6,2009-01
2009-01-07 00:00:00,2009,1,7,0,0,1,7,2009-01
2009-01-07 00:00:00,2009,1,7,0,30,2,7,2009-01
2009-01-07 00:00:00,2009,1,7,1,0,3,7,2009-01
2009-01-07 00:00:00,2009,1,7,1,30,4,7,2009-01
2009-01-07 00:00:00,2009,1,7,2,0,5,7,2009-01
2009-01-07 00:00:00,2009,1,7,2,30,6,7,2009-01
2009-01-07 00:00:00,2009,1,7,3,0,7,7,2009-01
2009-01-07 00:00:00,2009,1,7,3,30,8,7,2009-01
2009-01-07 00:00:00,2009,1,7,4,0,9,7,2009-01
2009-01-07 00:00:00,2009,1,7,4,30,10,7,2009-01
2009-01-07 00:00:00,2009,1,7,5,0,11,7,2009-01
2009-01-07 00:00:00,2009,1,7,5,30,12,7,2009-01
2009-01-07 00:00:00,2009,1,7,6,0,13,7,2009-01
2009-01-07 00:00:00,2009,1,7,6,30,14,7,2009-01
2009-01-07 00:00:00,2009,1,7,7,0,15,7,2009-01
2009-01-07 00:00:00,2009,1,7,7,30,16,7,2009-01
2009-01-07 00:00:00,2009,1,7,8,0,17,7,2009-01
2009-01-07 00:00:00,2009,1,7,8,30,18,7,2009-01
2009-01-07 00:00:00,2009,1,7,9,0,19,7,2009-01
2009-01-07 00:00:00,2009,1,7,9,30,20,7,2009-01
2009-01-07 00:00:00,2009,1,7,10,0,21,7,2009-01
2009-01-07 00:00:00,2009,1,7,10,30,22,7,2009-01
2009-01-07 00:00:00,2009,1,7,11,0,23,7,2009-01
2009-01-07 00:00:00,2009,1,7,11,30,24,7,2009-01
2009-01-07 00:00:00,2009,1,7,12,0,25,7,2009-01
2009-01-07 00:00:00,2009,1,7,12,30,26,7,2009-01
2009-01-07 00:00:00,2009,1,7,13,0,27,7,2009-01
2009-01-07 00:00:00,2009,1,7,13,30,28,7,2009-01
2009-01-07 00:00:00,2009,1,7,14,0,29,7,2009-01
2009-01-07 00:00:00,2009,1,7,14,30,30,7,2009-01
2009-01-07 00:00:00,2009,1,7,15,0,31,7,2009-01
2009-01-07 00:00:00,2009,1,7,15,30,32,7,2009-01
2009-01-07 00:00:00,2009,1,7,16,0,33,7,2009-01
2009-01-07 00:00:00,2009,1,7,16,30,34,7,2009-01
2009-01-07 00:00:00,2009,1,7,17,0,35,7,2009-01
2009-01-07 00:00:00,2009,1,7,17,30,36,7,2009-01
2009-01-07 00:00:00,2009,1,7,18,0,37,7,2009-01
2009-01-07 00:00:00,2009,1,7,18,30,38,7,2009-01
2009-01-07 00:00:00,2009,1,7,19,0,39,7,2009-01
2009-01-07 00:00:00,2009,1,7,19,30,40,7,2009-01
2009-01-07 00:00:00,2009,1,7,20,0,41,7,2009-01
2009-01-07 00:00:00,2009,1,7,20,30,42,7,2009-01
2009-01-07 00:00:00,2009,1,7,21,0,43,7,2009-01
2009-01-07 00:00:00,2009,1,7,21,30,44,7,2009-01
2009-01-07 00:00:00,2009,1,7,22,0,45,7,2009-01
2009-01-07 00:00:00,2009,1,7,22,30,46,7,2009-01
2009-01-07 00:00:00,2009,1,7,23,0,47,7,2009-01
2009-01-07 00:00:00,2009,1,7,23,30,48,7,2009-01
2009-01-08 00:00:00,2009,1,8,0,0,1,8,2009-01
2009-01-08 00:00:00,2009,1,8,0,30,2,8,2009-01
2009-01-08 00:00:00,2009,1,8,1,0,3,8,2009-01
2009-01-08 00:00:00,2009,1,8,1,30,4,8,2009-01
2009-01-08 00:00:00,2009,1,8,2,0,5,8,2009-01
2009-01-08 00:00:00,2009,1,8,2,30,6,8,2009-01
2009-01-08 00:00:00,2009,1,8,3,0,7,8,2009-01
2009-01-08 00:00:00,2009,1,8,3,30,8,8,2009-01
2009-01-08 00:00:00,2009,1,8,4,0,9,8,2009-01
