ID,date_cer,kwh
2570,41138,4.100086076
2570,41139,4.127352658
2570,41140,4.03343443
2570,41141,4.077363924
2570,41142,3.595654304
2570,41143,3.983445696
2570,41144,3.717848987
2570,41145,3.573437089
2570,41146,3.601208608
2570,41147,0.581687089
2570,41148,0.04443443
2570,41201,0.055162278
2570,41202,0.055668354
2570,41203,0.050101519
2570,41204,0.055162278
2570,41205,0.055668354
2570,41206,0.055668354
2570,41207,0.050101519
2570,41208,0.055162278
2570,41209,0.055668354
2570,41210,0.055668354
2570,41211,3.004066835
2570,41212,5.169565823
2570,41213,5.436267848
2570,41214,3.792533165
2570,41215,4.009133671
2570,41216,4.086563291
2570,41217,0.255568354
2570,41218,0.06123519
2570,41219,0.044028608
2570,41220,0.055668354
2570,41221,0.055668354
2570,41222,0.06123519
2570,41223,0.044028608
2570,41224,0.055668354
2570,41225,0.055668354
2570,41226,0.06123519
2570,41227,0.055162278
2570,41228,0.044534684
2570,41229,0.06123519
2570,41230,0.055162278
2570,41231,0.055668354
2570,41232,0.055668354
2570,41233,0.06123519
2570,41234,0.044028608
2570,41235,0.055668354
2570,41236,0.055668354
2570,41237,0.06123519
2570,41238,0.055162278
2570,41239,0.055668354
2570,41240,0.044534684
2570,41241,0.060729114
2570,41242,0.055668354
2570,41243,0.055668354
2570,41244,0.055668354
2570,41245,0.049595443
2570,41246,0.055668354
2570,41247,0.055668354
2570,41248,0.055668354
2570,41301,0.049372152
2570,41302,0.055417722
2570,41303,0.055417722
2570,41304,0.054913924
2570,41305,0.049875949
2570,41306,0.055417722
2570,41307,0.055417722
2570,41308,0.054913924
2570,41309,0.049875949
2570,41310,0.055417722
2570,41311,0.055417722
2570,41312,0.054913924
2570,41313,0.049875949
2570,41314,1.216167089
2570,41315,5.555374684
2570,41316,5.997708861
2570,41317,3.371916456
2570,41318,4.759374684
2570,41319,2.166832911
2570,41320,0.055417722
2570,41321,0.044334177
2570,41322,0.054913924
2570,41323,0.060959494
2570,41324,0.055417722
2570,41325,0.054913924
2570,41326,0.044334177
2570,41327,0.060959494
2570,41328,0.055417722
2570,41329,0.054913924
2570,41330,0.055417722
2570,41331,0.049875949
2570,41332,0.055417722
